id_participant,vote_count
orenth01,110
orenth02,156
orenth03,107
orenth04,105
orenth05,104
orenth06,103
orenth07,103
orenth08,109
orenth09,101
orenth10,113
orenth11,113
orenth12,119
orenth13,108
orenth14,112
orenth15,104
orenth16,101
orenth17,116
orenth18,118
orenth19,122
orenth20,102
orenth21,111
orenth22,102
orenth23,125
orenth24,155
orenth25,117
orenth26,61
orenth27,78
orenth28,66
orenth29,35
orenth30,26
orenth31,6
orenth32,59
orenth33,38
orenth34,37
orenth35,29
orenth36,115
orenth37,60
orenth38,66
orenth39,48
orenth40,34
orenth41,49
orenth42,20
orenth43,65
orenth44,11
orenth45,28
orenth46,15
orenth47,5
orenth48,11
